league_id,name,type,country,country_code,season,season_start,season_end,logo,flag,standings,is_current,coverage_standings,coverage_fixtures_events,coverage_fixtures_lineups,coverage_fixtures_statistics,coverage_fixtures_players_statistics,coverage_players,coverage_topscorers,coverage_predictions,coverage_odds
1,World Cup,Cup,World,,2018,2018-06-14,2018-07-15,https://media.api-sports.io/football/leagues/1.png,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,Premier League,League,England,GB,2018,2018-08-10,2019-05-12,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,Championship,League,England,GB,2018,2018-08-03,2019-05-27,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,Ligue 1,League,France,FR,2018,2018-08-10,2019-05-24,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5,Ligue 2,League,France,FR,2018,2018-07-27,2019-05-17,https://media.api-sports.io/football/leagues/62.png,https://media.api-sports.io/flags/fr.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6,Serie A,League,Brazil,BR,2018,2018-04-14,2018-12-02,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
7,Serie B,League,Brazil,BR,2018,2018-04-13,2018-11-24,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
8,Bundesliga 1,League,Germany,DE,2018,2018-08-24,2019-05-27,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
9,Bundesliga 2,League,Germany,DE,2018,2018-08-03,2019-05-19,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,Eredivisie,League,Netherlands,NL,2018,2018-08-10,2019-05-28,https://media.api-sports.io/football/leagues/88.png,https://media.api-sports.io/flags/nl.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
11,Primeira Liga,League,Portugal,PT,2018,2018-08-10,2019-05-19,https://media.api-sports.io/football/leagues/94.png,https://media.api-sports.io/flags/pt.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
12,Liga de Honra,League,Portugal,PT,2018,2018-08-11,2019-05-19,https://media.api-sports.io/football/leagues/95.png,https://media.api-sports.io/flags/pt.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
13,J. League Div.1,League,Japan,JP,2018,2018-02-23,2018-12-01,https://media.api-sports.io/football/leagues/98.png,https://media.api-sports.io/flags/jp.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
14,J. League Div.2,League,Japan,JP,2018,2018-02-25,2018-12-02,https://media.api-sports.io/football/leagues/99.png,https://media.api-sports.io/flags/jp.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
15,Eliteserien,League,Norway,NO,2018,2018-03-11,2018-11-24,https://media.api-sports.io/football/leagues/103.png,https://media.api-sports.io/flags/no.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
16,Ekstraklasa,League,Poland,PL,2018,2018-07-20,2019-05-19,https://media.api-sports.io/football/leagues/106.png,https://media.api-sports.io/flags/pl.svg,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
17,Premier,League,Wales,GB,2018,2018-08-10,2019-05-19,https://media.api-sports.io/football/leagues/110.png,https://media.api-sports.io/flags/gb.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
18,Allsvenskan,League,Sweden,SE,2018,2018-04-01,2018-11-11,https://media.api-sports.io/football/leagues/113.png,https://media.api-sports.io/flags/se.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
19,Vysshaya Liga,League,Belarus,BY,2018,2018-03-30,2018-12-02,https://media.api-sports.io/football/leagues/116.png,https://media.api-sports.io/flags/by.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
20,Superligaen,League,Denmark,DK,2018,2018-07-13,2019-05-31,https://media.api-sports.io/football/leagues/119.png,https://media.api-sports.io/flags/dk.svg,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
21,Eerste Divisie,League,Netherlands,NL,2018,2018-08-17,2019-05-03,https://media.api-sports.io/football/leagues/89.png,https://media.api-sports.io/flags/nl.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
22,Ligue 1,League,France,FR,2017,2017-08-04,2018-05-19,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
23,Ligue 1,League,France,FR,2016,2016-08-12,2017-05-20,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
24,Ligue 2,League,France,FR,2017,2017-07-28,2018-05-20,https://media.api-sports.io/football/leagues/62.png,https://media.api-sports.io/flags/fr.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
25,Ligue 2,League,France,FR,2016,2016-07-29,2017-05-19,https://media.api-sports.io/football/leagues/62.png,https://media.api-sports.io/flags/fr.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
26,Primera Division,League,Argentina,AR,2017,2017-08-25,2018-05-15,https://media.api-sports.io/football/leagues/128.png,https://media.api-sports.io/flags/ar.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
27,Primera B Nacional,League,Argentina,AR,2017,2017-09-16,2018-06-03,https://media.api-sports.io/football/leagues/129.png,https://media.api-sports.io/flags/ar.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
28,Serie A,League,Italy,IT,2017,2017-08-19,2018-05-20,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
29,Serie B,League,Italy,IT,2017,2017-08-25,2018-06-16,https://media.api-sports.io/football/leagues/136.png,https://media.api-sports.io/flags/it.svg,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
30,Primera Division,League,Spain,ES,2017,2017-08-18,2018-05-20,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
31,UEFA Champions League,Cup,World,,2017,2017-06-27,2018-05-26,https://media.api-sports.io/football/leagues/2.png,,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
32,UEFA Europa League,Cup,World,,2017,2017-06-29,2018-05-16,https://media.api-sports.io/football/leagues/3.png,,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
33,Segunda Division,League,Spain,ES,2017,2017-08-18,2018-06-16,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
34,Jupiler Pro League,League,Belgium,BE,2018,2018-07-27,2019-05-19,https://media.api-sports.io/football/leagues/144.png,https://media.api-sports.io/flags/be.svg,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
35,Bundesliga 1,League,Germany,DE,2017,2017-08-18,2018-05-12,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
