unique,player,nation,pos,squad,born,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,league
Abdou DialloParis S-G2020,Abdou Diallo,fr FRA,DF,Paris S-G,1996,7,4,376,0,0,0,0,2,1,0,0,0,0,2020,French
Alessandro FlorenziParis S-G2020,Alessandro Florenzi,it ITA,DF,Paris S-G,1991,5,5,417,2,0,0,0,1,0,0.43,0,0.43,0.43,2020,French
Ander HerreraParis S-G2020,Ander Herrera,es ESP,MF,Paris S-G,1989,9,4,560,1,0,0,0,0,0,0.16,0,0.16,0.16,2020,French
Ángel Di MaríaParis S-G2020,Ángel Di María,ar ARG,"FW,MF",Paris S-G,1988,4,4,335,1,1,0,0,1,0,0.27,0.27,0.54,0.27,2020,French
Arnaud KalimuendoParis S-G2020,Arnaud Kalimuendo,fr FRA,FW,Paris S-G,2002,1,1,73,0,0,0,0,0,0,0,0,0,0,2020,French
Bandiougou FadigaParis S-G2020,Bandiougou Fadiga,fr FRA,"FW,MF",Paris S-G,2001,4,0,42,0,0,0,0,0,0,0,0,0,0,2020,French
Colin DagbaParis S-G2020,Colin Dagba,fr FRA,DF,Paris S-G,1998,8,3,360,0,1,0,0,1,0,0,0.25,0.25,0,2020,French
Danilo PereiraParis S-G2020,Danilo Pereira,pt POR,DF,Paris S-G,1991,2,2,155,0,0,0,0,0,0,0,0,0,0,2020,French
Idrissa Gana GueyeParis S-G2020,Idrissa Gana Gueye,sn SEN,MF,Paris S-G,1989,7,6,467,1,0,0,0,1,0,0.19,0,0.19,0.19,2020,French
JeséParis S-G2020,Jesé,es ESP,FW,Paris S-G,1993,2,0,24,0,0,0,0,0,0,0,0,0,0,2020,French
Juan BernatParis S-G2020,Juan Bernat,es ESP,DF,Paris S-G,1993,3,2,194,0,0,0,0,2,0,0,0,0,0,2020,French
Julian DraxlerParis S-G2020,Julian Draxler,de GER,MF,Paris S-G,1993,6,5,398,2,0,0,0,2,0,0.45,0,0.45,0.45,2020,French
Kays RuizParis S-G2020,Kays Ruiz,ma MAR,"FW,MF",Paris S-G,2002,5,1,150,0,0,0,0,0,0,0,0,0,0,2020,French
Keylor NavasParis S-G2020,Keylor Navas,cr CRC,GK,Paris S-G,1986,6,6,540,0,0,0,0,0,0,0,0,0,0,2020,French
Kylian MbappéParis S-G2020,Kylian Mbappé,fr FRA,"FW,MF",Paris S-G,1998,6,5,432,7,4,2,2,0,0,1.46,0.83,2.29,1.04,2020,French
Layvin KurzawaParis S-G2020,Layvin Kurzawa,fr FRA,DF,Paris S-G,1992,3,1,113,0,0,0,0,0,1,0,0,0,0,2020,French
Leandro ParedesParis S-G2020,Leandro Paredes,ar ARG,MF,Paris S-G,1994,4,3,159,0,0,0,0,2,1,0,0,0,0,2020,French
Marcin Bu?kaParis S-G2020,Marcin Bu?ka,pl POL,GK,Paris S-G,1999,1,1,90,0,0,0,0,0,0,0,0,0,0,2020,French
Marco VerrattiParis S-G2020,Marco Verratti,it ITA,MF,Paris S-G,1992,5,4,354,0,0,0,0,1,0,0,0,0,0,2020,French
MarquinhosParis S-G2020,Marquinhos,br BRA,"DF,MF",Paris S-G,1994,6,5,457,1,0,0,0,1,0,0.2,0,0.2,0.2,2020,French
Mauro IcardiParis S-G2020,Mauro Icardi,ar ARG,FW,Paris S-G,1993,4,4,347,2,0,0,0,0,0,0.52,0,0.52,0.52,2020,French
Mitchel BakkerParis S-G2020,Mitchel Bakker,nl NED,DF,Paris S-G,2000,8,7,609,0,2,0,0,1,0,0,0.3,0.3,0,2020,French
Moise KeanParis S-G2020,Moise Kean,it ITA,FW,Paris S-G,2000,3,3,207,2,0,0,0,0,0,0.87,0,0.87,0.87,2020,French
NeymarParis S-G2020,Neymar,br BRA,"FW,MF",Paris S-G,1992,4,4,359,2,3,0,0,1,1,0.5,0.75,1.25,0.5,2020,French
Pablo SarabiaParis S-G2020,Pablo Sarabia,es ESP,FW,Paris S-G,1992,9,6,552,2,4,0,0,1,0,0.33,0.65,0.98,0.33,2020,French
Presnel KimpembeParis S-G2020,Presnel Kimpembe,fr FRA,DF,Paris S-G,1995,7,6,512,0,0,0,0,1,0,0,0,0,0,2020,French
RafinhaParis S-G2020,Rafinha,br BRA,MF,Paris S-G,1993,3,3,214,0,1,0,0,1,0,0,0.42,0.42,0,2020,French
Sergio RicoParis S-G2020,Sergio Rico,es ESP,GK,Paris S-G,1993,2,2,180,0,0,0,0,0,0,0,0,0,0,2020,French
Thilo KehrerParis S-G2020,Thilo Kehrer,de GER,DF,Paris S-G,1996,3,2,205,0,0,0,0,0,0,0,0,0,0,2020,French
Abdou DialloParis S-G2019,Abdou Diallo,fr FRA,DF,Paris S-G,1996,16,14,1201,0,1,0,0,4,0,0,0.07,0.07,0,2019,French
Adil AouchicheParis S-G2019,Adil Aouchiche,fr FRA,MF,Paris S-G,2002,1,1,64,0,0,0,0,0,0,0,0,0,0,2019,French
Alphonse AreolaParis S-G2019,Alphonse Areola,fr FRA,GK,Paris S-G,1993,3,3,270,0,0,0,0,0,0,0,0,0,0,2019,French
Ander HerreraParis S-G2019,Ander Herrera,es ESP,"MF,DF",Paris S-G,1989,8,6,547,1,1,0,0,0,0,0.16,0.16,0.33,0.16,2019,French
Ángel Di MaríaParis S-G2019,Ángel Di María,ar ARG,"FW,MF",Paris S-G,1988,26,23,2000,8,14,1,2,2,0,0.36,0.63,0.99,0.32,2019,French
Colin DagbaParis S-G2019,Colin Dagba,fr FRA,DF,Paris S-G,1998,10,7,668,0,0,0,0,1,0,0,0,0,0,2019,French
Edinson CavaniParis S-G2019,Edinson Cavani,uy URU,FW,Paris S-G,1987,14,7,605,4,1,1,1,2,0,0.6,0.15,0.74,0.45,2019,French
Eric Maxim Choupo-MotingParis S-G2019,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Paris S-G,1989,9,5,451,3,1,0,0,0,0,0.6,0.2,0.8,0.6,2019,French
Idrissa Gana GueyeParis S-G2019,Idrissa Gana Gueye,sn SEN,MF,Paris S-G,1989,20,19,1653,1,2,0,0,2,0,0.05,0.11,0.16,0.05,2019,French
JeséParis S-G2019,Jesé,es ESP,FW,Paris S-G,1993,1,0,1,0,0,0,0,0,0,0,0,0,0,2019,French
Juan BernatParis S-G2019,Juan Bernat,es ESP,"DF,MF",Paris S-G,1993,18,16,1388,0,4,0,0,5,0,0,0.26,0.26,0,2019,French
Julian DraxlerParis S-G2019,Julian Draxler,de GER,MF,Paris S-G,1993,11,7,686,0,4,0,0,5,0,0,0.52,0.52,0,2019,French
Keylor NavasParis S-G2019,Keylor Navas,cr CRC,GK,Paris S-G,1986,21,21,1890,0,0,0,0,0,0,0,0,0,0,2019,French
Kylian MbappéParis S-G2019,Kylian Mbappé,fr FRA,FW,Paris S-G,1998,20,17,1513,18,5,0,0,0,0,1.07,0.3,1.37,1.07,2019,French
Layvin KurzawaParis S-G2019,Layvin Kurzawa,fr FRA,DF,Paris S-G,1992,14,9,858,1,0,0,0,4,0,0.1,0,0.1,0.1,2019,French
Leandro ParedesParis S-G2019,Leandro Paredes,ar ARG,MF,Paris S-G,1994,17,8,814,0,0,0,0,2,0,0,0,0,0,2019,French
