Season,Rank,Team,Revenue
2016-2017,1,Manchester United,676.3
2016-2017,2,Real Madrid,674.6
2016-2017,3,FC Barcelona,648.3
2016-2017,4,Bayern Munich,587.8
2016-2017,5,Manchester City,527.7
2016-2017,6,Arsenal,487.6
2016-2017,7,Paris Saint-Germain,486.2
2016-2017,8,Chelsea,428
2016-2017,9,Liverpool,424.2
2016-2017,10,Juventus,405.7
2016-2017,11,Tottenham Hotspur,355.6
2016-2017,12,Borussia Dortmund,332.6
2016-2017,13,Atlético de Madrid,272.5
2016-2017,14,Leicester City,271.1
2016-2017,15,Internazionale,262.1
2016-2017,16,Schalke 04,230.2
2016-2017,17,West Ham United,213.3
2016-2017,18,Southampton,212.1
2016-2017,19,Napoli,200.7
2016-2017,20,Everton,199.2
