team_id,name,code,logo,country,is_national,founded,venue_name,venue_surface,venue_address,venue_city,venue_capacity,year
47,Tottenham,,https://media.api-sports.io/football/teams/47.png,England,FALSE,1882,Tottenham Hotspur Stadium,grass,"Bill Nicholson Way, 748 High Road",London,62062,2010
50,Manchester City,,https://media.api-sports.io/football/teams/50.png,England,FALSE,1880,Etihad Stadium,grass,Rowsley Street,Manchester,55097,2010
66,Aston Villa,,https://media.api-sports.io/football/teams/66.png,England,FALSE,1874,Villa Park,grass,Trinity Road,Birmingham,42788,2010
48,West Ham,,https://media.api-sports.io/football/teams/48.png,England,FALSE,1895,London Stadium,grass,"Marshgate Lane, Stratford",London,60000,2010
67,Blackburn,,https://media.api-sports.io/football/teams/67.png,England,FALSE,1875,Ewood Park,grass,Nuttall Street,"Blackburn, Lancashire",31367,2010
45,Everton,,https://media.api-sports.io/football/teams/45.png,England,FALSE,1878,Goodison Park,grass,Goodison Road,Liverpool,40569,2010
61,Wigan,,https://media.api-sports.io/football/teams/61.png,England,FALSE,1932,DW Stadium,grass,"Robin Park, Loire Drive",Wigan,25138,2010
1356,Blackpool,,https://media.api-sports.io/football/teams/1356.png,England,FALSE,1887,Bloomfield Road,grass,Seasiders Way,"Blackpool, Lancashire",17625,2010
68,Bolton,,https://media.api-sports.io/football/teams/68.png,England,FALSE,1874,University of Bolton Stadium,grass,Burnden Way,Bolton,28723,2010
36,Fulham,,https://media.api-sports.io/football/teams/36.png,England,FALSE,1879,Craven Cottage,grass,Stevenage Road,London,25700,2010
746,Sunderland,,https://media.api-sports.io/football/teams/746.png,England,FALSE,1879,Stadium of Light,grass,Millenium Way,Sunderland,49000,2010
54,Birmingham,,https://media.api-sports.io/football/teams/54.png,England,FALSE,1875,St Andrew's Trillion Trophy Stadium,grass,St. Andrew&apos;s Road,Birmingham,30009,2010
39,Wolves,,https://media.api-sports.io/football/teams/39.png,England,FALSE,1877,Molineux Stadium,grass,Waterloo Road,"Wolverhampton, West Midlands",32050,2010
75,Stoke City,,https://media.api-sports.io/football/teams/75.png,England,FALSE,1868,bet365 Stadium,grass,Stanley Matthews Way,"Stoke-on-Trent, Staffordshire",30089,2010
49,Chelsea,,https://media.api-sports.io/football/teams/49.png,England,FALSE,1905,Stamford Bridge,grass,Fulham Road,London,41841,2010
60,West Brom,,https://media.api-sports.io/football/teams/60.png,England,FALSE,1878,The Hawthorns,grass,Halfords Lane,West Bromwich,28003,2010
40,Liverpool,,https://media.api-sports.io/football/teams/40.png,England,FALSE,1892,Anfield,grass,Anfield Road,Liverpool,55212,2010
42,Arsenal,,https://media.api-sports.io/football/teams/42.png,England,FALSE,1886,Emirates Stadium,grass,Queensland Road,London,60383,2010
33,Manchester United,MUN,https://media.api-sports.io/football/teams/33.png,England,FALSE,1878,Old Trafford,grass,Sir Matt Busby Way,Manchester,76212,2010
34,Newcastle,,https://media.api-sports.io/football/teams/34.png,England,FALSE,1892,St. James' Park,grass,St. James&apos; Street,Newcastle upon Tyne,52389,2010
67,Blackburn,,https://media.api-sports.io/football/teams/67.png,England,FALSE,1875,Ewood Park,grass,Nuttall Street,"Blackburn, Lancashire",31367,2011
39,Wolves,,https://media.api-sports.io/football/teams/39.png,England,FALSE,1877,Molineux Stadium,grass,Waterloo Road,"Wolverhampton, West Midlands",32050,2011
36,Fulham,,https://media.api-sports.io/football/teams/36.png,England,FALSE,1879,Craven Cottage,grass,Stevenage Road,London,25700,2011
