clubs/id,clubs/name,clubs/image
583,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728
244,Ol. Marseille,https://tmssl.akamaized.net/images/wappen/medium/244.png?lm=1485642163
273,Stade Rennes,https://tmssl.akamaized.net/images/wappen/medium/273.png?lm=1408779098
1082,LOSC Lille,https://tmssl.akamaized.net/images/wappen/medium/1082.png?lm=1529521041
417,OGC Nizza,https://tmssl.akamaized.net/images/wappen/medium/417.png?lm=1408779490
1421,Stade Reims,https://tmssl.akamaized.net/images/wappen/medium/1421.png?lm=1592601839
1041,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1581024966
969,Montpellier,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367
667,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1468478606
162,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1463176069
1420,SCO Angers,https://tmssl.akamaized.net/images/wappen/medium/1420.png?lm=1504267636
40,G. Bordeaux,https://tmssl.akamaized.net/images/wappen/medium/40.png?lm=1602244151
995,FC Nantes,https://tmssl.akamaized.net/images/wappen/medium/995.png?lm=1581355747
3911,Stade Brest 29,https://tmssl.akamaized.net/images/wappen/medium/3911.png?lm=1408780312
347,FC Metz,https://tmssl.akamaized.net/images/wappen/medium/347.png?lm=1420389393
2969,Dijon,https://tmssl.akamaized.net/images/wappen/medium/2969.png?lm=1408780404
618,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1503255676
1160,Nîmes Olympique,https://tmssl.akamaized.net/images/wappen/medium/1160.png?lm=1526910377
1158,FC Lorient,https://tmssl.akamaized.net/images/wappen/medium/1158.png?lm=1406642498
826,RC Lens,https://tmssl.akamaized.net/images/wappen/medium/826.png?lm=1595457059
