,,,,,,,Playing Time,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Year,League
1,Adrián,es ESP,GK,Liverpool,33-309,1987,2,2,180,9,4.5,16,7,0.438,0,1,1,0,0,0,0,0,0,2020,English
2,Alisson,br BRA,GK,Liverpool,28-036,1992,5,5,450,6,1.2,12,7,0.583,5,0,0,1,20,2,1,1,0,2020,English
3,Alphonse Areola,fr FRA,GK,Fulham,27-254,1993,6,6,540,11,1.83,32,23,0.719,1,1,4,1,16.7,2,2,0,0,2020,English
4,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-035,1994,3,3,270,6,2,14,8,0.571,1,1,1,0,0,0,0,0,0,2020,English
5,Willy Caballero,ar ARG,GK,Chelsea,39-040,1981,1,1,90,3,3,3,0,0,0,1,0,0,0,0,0,0,0,2020,English
6,Karl Darlow,eng ENG,GK,Newcastle Utd,30-030,1990,8,8,720,13,1.62,48,35,0.75,3,2,3,1,12.5,2,1,1,0,2020,English
7,Ederson,br BRA,GK,Manchester City,27-082,1993,6,6,540,8,1.33,18,12,0.722,3,2,1,2,33.3,3,3,0,0,2020,English
8,Łukasz Fabiański,pl POL,GK,West Ham,35-203,1985,7,7,630,11,1.57,23,14,0.565,2,2,3,2,28.6,1,1,0,0,2020,English
9,David de Gea,es ESP,GK,Manchester Utd,30-000,1990,6,6,540,13,2.17,20,12,0.55,2,1,3,1,16.7,4,4,0,0,2020,English
10,Vicente Guaita,es ESP,GK,Crystal Palace,33-302,1987,7,7,630,11,1.57,28,19,0.714,3,1,3,1,14.3,3,3,0,0,2020,English
11,Sam Johnstone,eng ENG,GK,West Brom,27-227,1993,7,7,630,16,2.29,41,28,0.659,0,3,4,1,14.3,2,2,0,0,2020,English
12,Bernd Leno,de GER,GK,Arsenal,28-248,1992,7,7,630,7,1,26,19,0.731,4,0,3,2,28.6,0,0,0,0,2020,English
13,Hugo Lloris,fr FRA,GK,Tottenham,33-317,1986,7,7,630,9,1.29,20,15,0.7,4,2,1,1,14.3,3,3,0,0,2020,English
14,Robert Lynch Sanchez,es ESP,GK,Brighton,,,1,1,90,2,2,2,1,0.5,0,0,1,0,0,1,1,0,0,2020,English
15,Emiliano Martínez,ar ARG,GK,Aston Villa,28-066,1992,6,6,540,9,1.5,28,18,0.679,4,0,2,3,50,1,0,1,0,2020,English
