Season,Rank,Team,Revenue
2010-2011,1,Real Madrid,479.5
2010-2011,2,FC Barcelona,450.7
2010-2011,3,Manchester United,367
2010-2011,4,Bayern Munich,321.4
2010-2011,5,Chelsea,253.1
2010-2011,6,Arsenal,251.1
2010-2011,7,AC Milan,234.8
2010-2011,8,Internazionale,211.4
2010-2011,9,Liverpool,203.3
2010-2011,10,Schalke 04,202.4
2010-2011,11,Tottenham Hotspur,181
2010-2011,12,Manchester City,169.6
2010-2011,13,Juventus,153.9
2010-2011,14,Olympique de Marseille,150.4
2010-2011,15,AS Roma,143.5
2010-2011,16,Borussia Dortmund,138.5
2010-2011,17,Olympique Lyonnais,132.8
2010-2011,18,Hamburger SV,128.8
2010-2011,19,Valencia,116.8
2010-2011,20,Napoli,114.9
