Season,Rank,Team,Revenue
2012-2013,1,Real Madrid,518.9
2012-2013,2,FC Barcelona,482.6
2012-2013,3,Bayern Munich,431.2
2012-2013,4,Manchester United,423.8
2012-2013,5,Paris Saint-Germain,398.8
2012-2013,6,Manchester City,316.2
2012-2013,7,Chelsea,303.4
2012-2013,8,Arsenal,284.3
2012-2013,9,Juventus,272.4
2012-2013,10,AC Milan,263.5
2012-2013,11,Borussia Dortmund,256.2
2012-2013,12,Liverpool,240.6
2012-2013,13,Schalke 04,198.2
2012-2013,14,Tottenham Hotspur,172
2012-2013,15,Internazionale,164.5
2012-2013,16,Galatasaray,157
2012-2013,17,Hamburger SV,135.4
2012-2013,18,Fenerbahçe,126.4
2012-2013,19,AS Roma,124.4
2012-2013,20,Atlético de Madrid,120
